Date,Oil_future,Oil_future_volume,Oil_spot,LNG_spot,LNG_future,LNG_future_volume,VIX,Gold_future,DJI_GI,SPX_GI,SH,EEM,Dollar_future,XLK,DJC_E,DJC,DJ_oil_index,DJ_trans,DJ_oil_gas_index,Unemployment,sentiment_mode,sentiment_avg,quantile_75,quantile_25,median,year,quarter
2020-01-02,61.2,27818,67.13,1.86,2.13,152564,12.47,1513.9,28868.8008,3257.8501,3085.1976,45.33,96.525,93.389999,93.9823,642.81,7138.82,10994.31,502.62,3.5,0,0.122699387,0,0,0,0,0
2020-01-03,63.06,68042,69.38,2.09,2.114,138619,14.02,1513.8,28634.8809,3234.8501,3083.7858,45.15,96.521,92.339996,96.5977,646.19,7135.28,10911.4,501.3,3.5,0,0.157534247,0,0,0,0,0
2020-01-06,62.93,43309,70.87,2.24,2.149,138798,13.85,1516.9,28703.3809,3246.28,3083.4083,44.7,96.35,92.559998,96.7582,647.86,7219.04,10848.73,505.18,3.5,0,0.069565217,0,0,0,0,0
2020-01-07,62.82,47964,69.6,2.25,2.154,144422,13.79,1527.3,28583.6797,3237.1799,3104.8015,44.83,96.702,92.519997,96.0505,646.91,7289.95,10887.56,504.23,3.5,0,0.121856867,0,0,0,0,0
2020-01-08,60,67732,69.58,2.17,2.151,207012,13.45,1551.7,28745.0898,3253.05,3066.8925,44.66,96.996,93.510002,92.1462,638.33,7092.06,10983.64,494.9,3.5,0,0.067340067,0,0,0,0,0
2020-01-09,59.59,51488,67.24,1.84,2.166,202802,12.54,1565.5,28956.9004,3274.7,3094.8819,45.38,97.162,94.57,91.9107,638,7159.82,11025.82,498.55,3.5,0,0.073059361,0,0,0,0,0
2020-01-10,59.14,44054,67.02,1.67,2.207,252594,12.56,1576.3,28823.7695,3265.3501,3092.2907,45.55,97.078,94.349998,91.4132,639.6,7100.41,10973.88,495.39,3.5,0,0.051724138,0,0,0,0,0
2020-01-13,58.13,51776,66.07,2.02,2.19,208380,12.32,1552.3,28907.0508,3288.1299,3115.5696,45.96,97.06,95.529999,90.0991,636.65,7057.13,11062.74,495.68,3.5,0,0.072115385,0,0,0,0,0
2020-01-14,58.2,45554,65.63,2.05,2.179,248407,12.39,1548.8,28939.6699,3283.1499,3106.8204,45.95,97.094,95.080002,90.2964,637.65,7112.7,11164.51,495.99,3.5,0,0.087719298,0,0,0,0,0
2020-01-15,58.02,37097,65.32,2.16,2.124,210609,12.42,1558.8,29030.2207,3289.29,3090.0379,45.71,96.96,95.190002,89.3774,635.03,7054.31,11195.39,492.62,3.5,0,0.113564669,0,0,0,0,0
2020-01-16,58.51,27627,65.62,2.66,2.076,197537,12.32,1548.9,29297.6406,3316.8101,3074.0814,45.82,97.062,96.470001,89.9327,632.95,7057.42,11304.97,493.17,3.5,0,0.058823529,0,0,0,0,0
2020-01-17,58.57,10735,65.58,3.58,2.003,201575,12.1,1544.8,29348.0996,3329.6201,3075.4955,46.07,97.359,97.120003,89.6824,634.91,7003.64,11278.85,489.91,3.5,0,0.089041096,0,0,0,0,0
2020-01-30,52.9,43757,58.8,1.89,1.832,195471,15.49,1578.2,28859.4395,3283.6599,2976.5281,43.09,97.706,98.019997,80.3124,593.95,6336.45,10833.17,455.88,3.5,0,0.026717557,0,0,0,0,0
2020-01-31,51.58,40794,58.94,1.73,1.843,128869,18.84,1576.4,28256.0293,3225.52,2976.5281,42.67,97.213,95.330002,79.5559,591.36,6152.87,10566.74,441.78,3.5,0,0.034285714,0,0,0,0,0
2020-02-03,49.9,47228,55.51,1.69,1.823,148231,17.97,1573.4,28399.8105,3248.9199,2746.6056,42.59,97.625,96.589996,77.1763,584.28,6049.47,10590.66,436.12,4.4,0,0.126556017,0,0,0,0,0
2020-02-04,49.5,39487,54.66,1.78,1.875,158659,16.05,1588.5,28807.6309,3297.5901,2783.2875,43.61,97.809,99.120003,76.8662,584.55,6072.96,10783.03,437.24,4.4,0,0.071910112,0,0,0,0,0
2020-02-05,51.17,42187,54.99,1.72,1.867,174844,15.15,1576.1,29290.8496,3334.6899,2818.0878,43.76,98.158,99.699997,78.6348,590.6,6338.9,10928.84,453.6,4.4,0,0.099730458,0,0,0,0,0
2020-02-06,51.09,38917,55.72,1.86,1.865,174131,14.96,1551.5,29379.7695,3345.78,2866.5097,44.27,98.381,100.610001,78.7445,592,6236.64,10874.4,448.47,4.4,0,0.076086957,0,0,0,0,0
2020-02-07,50.34,48828,55.11,1.84,1.85,222719,15.47,1555.2,29102.5098,3327.71,2875.9636,43.84,98.571,99.690002,78.356,590.91,6157.32,10857.73,445.02,4.4,0,0.09223301,0,0,0,0,0
2020-02-10,49.63,46683,54.21,1.76,1.769,287673,15.04,1565.6,29276.8203,3352.0901,2890.4878,43.65,98.714,101.040001,76.9662,587.4,6078.17,10866.58,440.88,4.4,0,0.11627907,0,0,0,0,0
2020-02-11,49.99,45073,54.16,1.81,1.791,226387,15.18,1570,29276.3398,3357.75,2901.6744,44.16,98.594,100.699997,77.7978,590.41,6134.37,10902.72,445.33,4.4,0,0.099585062,0,0,0,0,0
2020-02-12,51.75,53861,55.54,1.82,1.85,248331,13.74,1573.7,29551.4199,3379.45,2926.8991,44.57,98.922,101.790001,80.2047,598.11,6224.18,11003.45,451.43,4.4,0,0.041791045,0,0,0,0,0
2020-02-13,51.52,53232,55.86,2.44,1.829,225140,14.15,1566.9,29423.3105,3373.9399,2906.0735,44.42,98.958,101.519997,80.7234,600.8,6192.22,10994.14,449.26,4.4,0,0.055363322,0,0,0,0,0
2020-02-14,52.22,40502,56.73,1.87,1.85,178300,13.68,1568.7,29398.0801,3380.1599,2917.0077,44.43,99.003,101.959999,81.5648,601.92,6138.75,10862.92,445.86,4.4,0,0.10625,0,0,0,0,0
2020-02-18,52.1,27018,56.68,2.02,1.969,292608,14.83,1572.5,29232.1895,3370.29,2984.9716,44,99.333,101.580002,81.9266,606.47,6085.15,10865.58,442.22,4.4,0,0.096774194,0,0,0,0,0
2020-02-19,53.35,8048,58.35,2.33,1.967,226258,14.38,1581.8,29348.0293,3386.1499,2975.4019,44.34,99.597,102.790001,83.5973,610.97,6230.24,10943.24,448,4.4,0,0.088461538,0,0,0,0,0
2020-02-20,53.76,53018,58.94,2.24,1.916,245537,15.56,1600.9,29219.9805,3373.23,3030.1542,43.99,99.776,101.720001,83.7296,608.81,6248.41,11032.96,447.62,4.4,0,0.069767442,0,0,0,0,0
2020-02-21,53.44,48121,58.17,1.9,1.906,134568,17.08,1609.9,28992.4102,3337.75,3039.6692,43.56,99.188,99.440002,82.7433,607.92,6145.69,10908.94,441.55,4.4,0,0.134615385,0,0,0,0,0
2020-02-24,51.32,44139,56.11,1.68,1.837,70969,25.03,1618.7,27960.8008,3225.8899,3031.2333,42.39,99.284,95.330002,79.6527,595.71,5823.67,10509.92,420.69,4.4,0,0.022727273,0,0,0,0,0
2020-02-25,50.05,42794,55.88,1.75,1.842,141941,27.85,1642.4,27081.3594,3128.21,3013.0501,42.45,98.901,92.279999,77.691,589.81,5543.4,10061.46,402.25,4.4,0,0.081784387,0,0,0,0,0
2020-02-26,48.64,58231,54.01,1.9,1.823,155787,27.56,1660.8,26957.5898,3116.3899,2987.9287,41.92,98.938,92.699997,75.5676,584.27,5311.42,9840.89,390.01,4.4,0,0.023411371,0,0,0,0,0
2020-02-27,46.29,66723,51.89,1.78,1.738,242291,39.16,1634.6,25766.6406,2978.76,2991.3288,41.42,98.461,87.699997,73.3071,575.55,4996.7,9484.44,368.46,4.4,0,0.077306733,0,0,0,0,0
2020-02-28,45.29,61262,50.16,1.67,1.701,205887,40.11,1636.4,25409.3594,2954.22,2880.3038,40.41,98.081,88.370003,70.5452,563.68,5133.23,9388.19,373.35,4.4,0,0.06372549,0,0,0,0,0
2020-03-02,47.79,51527,51.65,1.53,1.757,183402,33.42,1641.2,26703.3203,3090.23,2970.9312,40.89,97.319,93.480003,73.5168,576.29,5176.19,9475.68,383.9,14.7,0,0.081871345,0,0,0,0,0
2020-03-03,46.99,54348,52.65,1.65,1.806,195284,36.82,1582.2,25917.4102,3003.3701,2992.8968,41.32,97.122,89.93,73.9711,580.97,5037.8,9200.67,371.74,14.7,0,0.12371134,0,0,0,0,0
2020-03-04,47.19,37355,51.99,1.66,1.835,128687,31.99,1586.1,27090.8594,3130.1201,3011.6657,41.73,97.307,93.790001,73.6419,580.93,5100.95,9512.05,379.54,14.7,0,0.071770335,0,0,0,0,0
2020-03-05,46.1,38100,51.74,1.67,1.757,141260,39.62,1634.5,26121.2793,3023.9399,3071.6771,41.79,96.79,90.830002,72.0832,575.66,4882.73,9010.92,365.56,14.7,0,0.12804878,0,0,0,0,0
2020-03-06,41.55,87058,48.33,1.54,1.731,188207,41.94,1640,25864.7793,2972.3701,3034.5113,40.69,95.934,88.910004,65.7084,557.16,4505.95,8956.06,344.29,14.7,0,0.005025126,0,0,0,0,0
2020-03-09,30.15,137700,34.71,1.43,1.819,263705,54.46,1668.2,23851.0195,2746.5601,2943.2907,38.11,94.87,82.160004,52.9028,523.67,3349.66,8083.49,273.06,14.7,0,-0.00887574,0,0,0,0,0
2020-03-10,34.7,71393,35.71,1.58,1.924,319153,47.3,1673.5,25018.1602,2882.23,2996.7618,38.8,96.389,87.639999,57.3023,537.44,3566.29,8520.84,287.01,14.7,0,0.094339623,0,0,0,0,0
2020-03-11,33.01,57270,35.54,1.69,1.882,296710,53.9,1672.9,23553.2207,2741.3799,2968.5174,38.08,96.492,83.5,55.8868,529.73,3250.32,8126.09,271.3,14.7,0,0.065843621,0,0,0,0,0
2020-03-12,31.05,89097,33.25,1.51,1.819,260199,75.47,1647,21200.6191,2480.6399,2923.4856,35.52,97.464,75.349998,52.8325,512.49,2811.74,7259.02,238.26,14.7,0,0.044982699,0,0,0,0,0
2020-03-13,33.42,57205,34.14,1.67,1.883,210791,57.83,1636.5,23185.6191,2711.02,2887.4265,35.85,98.764,84.190002,52.941,507.73,3188.34,7939.4,259.74,14.7,0,0.03164557,0,0,0,0,0
2020-03-16,28.65,53323,30.63,1.46,1.804,152067,82.69,1575,20188.5195,2386.1299,2789.2537,33.39,98.24,72.559998,47.8144,483.99,2744.85,7023.44,224.75,14.7,0,0.111731844,0,0,0,0,0
2020-03-17,26.93,60989,30.36,1.47,1.72,141423,75.91,1517.8,21237.3809,2529.1899,2779.6407,33.25,99.804,77.5,45.8954,477.19,2665.03,7468.23,225.79,14.7,0,0.169230769,0,0,0,0,0
2020-03-18,22.2,39020,27.31,1.3,1.635,204438,76.45,1502.6,19898.9199,2398.1001,2728.7563,31.68,101.543,74.580002,38.9785,451.81,2417.04,6971.44,193.83,14.7,0,0.068085106,0,0,0,0,0
2020-03-19,25.48,5621,26.73,1.24,1.65,162363,72,1525.5,20087.1895,2409.3899,2702.1296,30.84,103.605,74.849998,44.5799,471.24,2622.85,7078.73,207.13,14.7,0,0.076576577,0,0,0,0,0
2020-03-20,23.61,91783,28.57,1.51,1.577,139912,66.04,1488.2,19173.9805,2304.9199,2745.6182,32.32,103.502,71.419998,41.6462,466.17,2691.39,6837.72,209.31,14.7,0,0.099547511,0,0,0,0,0
2020-03-23,23.8,73480,24.72,1.41,1.586,120286,61.59,1476,18591.9297,2237.3999,2660.1674,30.51,103.24,70.400002,41.5852,471.04,2481.57,6703.63,195.09,14.7,0,0.078947368,0,0,0,0,0
2020-03-24,24.31,71833,26.53,1.66,1.678,77255,61.67,1483.5,20704.9102,2447.3301,2722.4381,32.27,102.247,77.610001,42.8539,483.33,2852.79,7540.8,226.37,14.7,0,0.139423077,0,0,0,0,0
2020-03-25,24.21,53720,26.94,1.38,1.661,40219,63.95,1556.5,21200.5508,2475.5601,2781.5913,33.67,100.997,77.510002,43.6314,485.3,2945.01,7724.87,236.2,14.7,0,0.061032864,0,0,0,0,0
2020-03-26,23.2,70860,26.04,1.28,1.695,117769,61,1657.5,22552.1699,2630.0701,2764.9109,34.29,99.453,82.309998,41.5819,478.73,3072,8045.47,250.55,14.7,0,0.104247104,0,0,0,0,0
2020-03-27,21.95,67566,24.26,1.12,1.669,109589,65.54,1635.5,21636.7793,2541.47,2772.2033,33.91,98.537,78.589996,40.602,473.97,2870.14,7699.18,233.4,14.7,0,0.021276596,0,0,0,0,0
2020-03-30,20.36,68757,21.66,1.44,1.702,98568,57.08,1660.5,22327.4805,2626.6499,2747.2138,33.52,99.281,81.900002,38.771,467.64,2867.26,7790.91,235.5,14.7,0,0.094262295,0,0,0,0,0
2020-03-31,20.17,35086,22.61,1.6,1.643,132129,53.54,1617.9,21917.1602,2584.5901,2750.2962,34.18,99.092,80.370003,38.7905,467.93,2942.27,7732.32,239.56,14.7,0,0.096525097,0,0,0,0,0
2020-04-01,21.15,47210,16.87,1.38,1.59,132272,57.06,1577.1,20943.5098,2470.5,2734.5215,33.32,99.753,76.540001,37.1705,455.42,2774.63,7352.58,228.21,14.7,0,0.037735849,0,0,0,0,0
2020-04-02,24.85,65318,18.91,1.31,1.551,155341,50.91,1590,21413.4395,2526.8999,2780.6379,33.79,100.271,78.330002,43.0789,471.02,3029.02,7445.71,248.68,13.2,0,0.122685185,0,0,0,0,0
2020-04-03,28.94,54524,23.01,1.35,1.659,143914,46.8,1627,21052.5293,2488.6499,2763.9874,33.51,100.677,77.120003,47.5774,480.15,3047.89,7305.31,245.35,13.2,0,0.110859729,0,0,0,0,0
2020-04-06,26.4,42897,23.48,1.4,1.749,166277,45.24,1634.2,22679.9902,2663.6799,2763.9874,34.42,100.755,83.699997,46.0243,481.19,3195.19,7837.69,258.11,13.2,0,0.16011236,0,0,0,0,0
2020-04-07,24.35,79463,22.67,1.48,1.908,224737,46.7,1690.8,22653.8594,2659.4099,2820.7634,35.38,99.914,82.949997,45.202,484.35,3259.74,7865.49,263.33,13.2,0,0.112903226,0,0,0,0,0
2020-04-08,26.17,75831,21.19,1.49,1.793,194188,43.35,1658,23433.5703,2749.98,2815.3686,35.22,100.17,85.18,47.3064,489.94,3528.32,8152.39,281.12,13.2,0,0.101083032,0,0,0,0,0
2020-04-09,23.47,79144,21.77,1.31,1.746,176109,41.67,1662.5,23719.3691,2789.8201,2825.9036,35.77,99.504,85.199997,46.5758,492.24,3509.62,8236.92,278.73,13.2,0,0.075,0,0,0,0,0
2020-04-13,22.55,46308,21.18,1.49,1.727,172293,41.17,1715.5,23390.7695,2761.6299,2783.0476,35.59,99.336,85.389999,48.3898,496.42,3492.13,8036.98,277.83,13.2,0,0.106918239,0,0,0,0,0
2020-04-14,20.75,70183,19.7,1.58,1.633,163589,37.76,1751.8,23949.7598,2846.0601,2827.283,36.21,98.885,88.970001,47.5163,494.85,3466.99,8177.69,276.82,13.2,0,0.093023256,0,0,0,0,0
2020-04-15,20.11,37818,17.51,1.55,1.591,139411,40.84,1741.5,23504.3496,2783.3601,2811.1741,35.69,99.486,87.029999,45.1237,484.14,3298.79,8003.23,264.05,13.2,0,0.089928058,0,0,0,0,0
2020-04-16,20,26221,17.73,1.41,1.687,209347,40.11,1734,23537.6797,2799.55,2819.935,35.67,100.1,88.089996,45.1251,484.48,3119.19,7981.93,253.55,13.2,0,0.106666667,0,0,0,0,0
2020-04-17,18.2,33869,18.17,1.51,1.762,185107,38.15,1725.2,24242.4902,2874.5601,2838.4945,36.34,99.836,89.260002,45.0248,484.76,3495.49,8233.81,279.63,13.2,0,0.118644068,0,0,0,0,0
2020-04-20,-6.89,28032,14.19,1.69,1.938,214783,43.83,1686.5,23650.4395,2823.1599,2852.5528,36.25,100.058,87.830002,40.6336,472.02,3448.39,7969.73,270.91,13.2,0,0.01754386,0,0,0,0,0
2020-04-21,13.15,242516,14.63,1.8,1.828,247507,45.41,1701.1,23018.8809,2736.5601,2827.0133,35.34,100.374,84.150002,30.0634,433.7,3410.46,7844.37,266.53,13.2,0,0.028037383,0,0,0,0,0
2020-04-22,14.17,117346,12.22,1.8,1.91,146824,41.98,1673.6,23475.8203,2799.3101,2843.9804,35.83,100.528,87.389999,32.7192,446.7,3562.71,7840.59,275.76,13.2,0,0.086642599,0,0,0,0,0
2020-04-23,16.67,87854,15.23,1.79,1.816,86177,41.38,1725.4,23515.2598,2797.8,2838.4994,35.95,100.535,86.790001,34.8719,453.46,3695.78,7951.66,284.25,13.2,0,0.131313131,0,0,0,0,0
2020-04-24,17,50103,14.31,1.64,1.71,74367,35.93,1741.4,23775.2695,2836.74,2808.5293,35.46,100.434,88.629997,34.7176,450.17,3702.07,8092.4,284.92,13.2,0,0.098765432,0,0,0,0,0
2020-04-27,12.8,67152,13.3,1.57,1.923,203161,33.29,1714.9,24133.7793,2878.48,2815.4947,36.1,100.097,89.389999,30.8193,437.18,3804.03,8317.42,290.92,13.2,0,0.056818182,0,0,0,0,0
2020-04-28,13.45,78007,12.41,1.69,1.954,152019,33.57,1716.7,24101.5508,2863.3899,2810.0243,36.4,99.934,88.199997,34.2682,448.87,3907.84,8407.32,297.33,13.2,0,0.109090909,0,0,0,0,0
2020-04-29,15.49,51973,14.36,1.55,1.878,149947,31.23,1709.9,24633.8594,2939.51,2822.4424,37.09,99.644,91.82,36.3993,455.72,4336.57,8628.62,319.52,13.2,0,0.164864865,0,0,0,0,0
2020-04-30,18.96,35792,18.05,1.4,1.938,160578,34.15,1705.1,24345.7207,2912.4299,2860.0822,37.08,99.028,91.410004,40.0104,469.15,4328.46,8377.08,313,13.2,0,0.101744186,0,0,0,0,0
2020-05-01,19.74,36034,16.52,1.3,1.882,172039,37.19,1688.1,23723.6895,2830.71,2860.0822,35.65,99.1,88.900002,39.7756,466.89,3987.9,8144.86,293.96,13.2,0,0.129909366,0,0,0,0,0
2020-05-04,21.1,26395,18.36,1.65,1.988,174684,35.97,1698.8,23749.7598,2842.74,2860.0822,35.7,99.567,90.080002,40.8351,470,4189.07,7980.96,304.72,11,0,0.200589971,0,0,0,0,0
2020-05-05,25.45,31024,21.43,1.64,2.082,281476,33.61,1704,23883.0898,2868.4399,2860.0822,36.05,99.762,91.32,46.3105,489.77,4155.14,8047.3,305,11,0,0.135211268,0,0,0,0,0
2020-05-06,24.05,28359,22.4,1.43,1.948,239359,34.12,1709.3,23664.6406,2848.4199,2878.1402,36.23,100.136,92.029999,44.259,481.15,4056.02,7931.83,296.94,11,0,0.059016393,0,0,0,0,0
2020-05-07,23.35,27927,22.91,1.6,1.9,210918,31.44,1694.8,23875.8906,2881.1899,2871.5232,36.17,99.906,93.410004,44.4072,486.63,4173.26,8050.59,304.33,11,0,0.08913649,0,0,0,0,0
2020-05-08,24.62,24007,22.21,1.38,1.825,165785,27.98,1721.5,24331.3203,2929.8,2895.3444,36.77,99.769,94.779999,46.7615,495.53,4378.55,8332.5,317.67,11,0,0.0703125,0,0,0,0,0
2020-05-11,24.51,16585,22.71,1.46,1.849,197224,27.57,1703.8,24221.9902,2930.1899,2894.802,36.91,100.27,95.410004,45.6266,490.98,4279.72,8234.18,312.34,11,0,0.06779661,0,0,0,0,0
2020-05-12,25.23,28796,22.83,1.4,1.7,205157,33.04,1690.2,23764.7793,2870.1201,2891.5564,36.67,99.956,93.440002,46.3167,493.53,4202.38,8000.55,305.16,11,0,0.055813953,0,0,0,0,0
2020-05-13,25.6,22178,23.25,1.25,1.643,229395,35.28,1701.3,23247.9707,2820,2898.0495,36.67,100.291,91.830002,45.438,487.21,3990.03,7823.8,291.5,11,0,0.035242291,0,0,0,0,0
2020-05-14,27.69,29488,24.93,1.04,1.674,193408,32.61,1720.2,23625.3398,2852.5,2870.3422,36.34,100.507,93,48.0529,496.46,4001.58,7861.34,294.34,11,0,0.093896714,0,0,0,0,0
2020-05-15,29.67,18559,26.54,1.11,1.636,157212,31.89,1736.5,23685.4199,2863.7,2868.4587,36.35,100.434,93.470001,49.919,503.1,4023.24,7761,293.64,11,0,0.139072848,0,0,0,0,0
2020-05-18,31.99,6156,28.21,1.59,1.766,209826,29.3,1750.9,24597.3691,2953.9099,2875.4176,36.83,99.681,95.760002,53.623,519.64,4412.38,8322.86,316.19,11,0,0.151639344,0,0,0,0,0
2020-05-19,31.79,44473,28.43,1.48,1.796,210974,30.53,1734.1,24206.8594,2922.9399,2898.576,37.33,99.366,95.410004,53.5374,520.71,4283.76,8228.93,307.1,11,0,0.105504587,0,0,0,0,0
2020-05-20,33.53,30416,28.68,1.43,1.781,147491,27.99,1749.5,24575.9004,2971.6101,2883.7378,37.59,99.135,97.5,55.0993,527.42,4455.49,8488.98,318.94,11,0,0.104046243,0,0,0,0,0
2020-05-21,33.84,26239,29.7,1.26,1.72,95441,29.53,1752.1,24474.1191,2948.51,2867.9237,37.52,99.403,96.139999,55.3857,524.45,4406.14,8452.85,314.3,11,0,0.017699115,0,0,0,0,0
2020-05-22,33.44,29646,28.06,1.22,1.745,50826,28.16,1723.4,24465.1602,2955.45,2813.7654,36.51,99.888,96.489998,54.4256,520.04,4397.01,8470.09,312.48,11,0,0.03902439,0,0,0,0,0
2020-05-26,34.13,20414,29.75,1.47,1.932,181441,28.01,1726.6,24995.1094,2991.77,2846.5473,37.41,98.906,96.389999,55.9868,527.65,4498.8,8895.61,321.6,11,0,0.103064067,0,0,0,0,0
2020-05-27,32.16,21835,29.03,1.51,1.877,153417,27.62,1707.4,25548.2695,3036.1299,2836.8036,37.44,99.058,96.940002,53.8638,518.73,4556.27,9151.39,325.03,11,0,0,0,0,0,0,0
2020-05-28,33.74,26685,28.45,1.32,1.823,153065,28.59,1692.8,25400.6406,3029.73,2846.2217,37.36,98.372,96.75,54.3912,521.72,4394.03,9005.43,315.82,11,0,0.066536204,0,0,0,0,0
2020-05-29,35.19,23727,29.01,1.25,1.84,192732,27.51,1717,25383.1094,3044.3101,2852.3512,37.6,98.341,97.970001,56.901,531.78,4318.69,8969.79,314.98,11,0,0.092105263,0,0,0,0,0
2020-06-01,35.65,24616,33.68,1.33,1.781,192447,28.23,1731.6,25475.0195,3055.73,2915.4311,38.46,97.82,97.940002,56.9898,532.88,4426.27,8965.91,320.41,11,0,0.101522843,0,0,0,0,0
2020-06-02,36.86,24269,34.95,1.51,1.773,131018,26.84,1737.4,25742.6504,3080.8201,2921.398,39.09,97.659,98.860001,59.1437,539.82,4592.74,9134.88,329.24,10.2,0,0.120689655,0,0,0,0,0
2020-06-03,36.8,31561,35.46,1.59,1.81,174234,25.66,1724.4,26269.8906,3122.8701,2923.3711,39.96,97.259,99.629997,59.4911,541.47,4719.79,9440.77,339.45,10.2,0,0.028708134,0,0,0,0,0
2020-06-04,37.32,22505,34.84,1.45,1.821,104111,25.81,1694,26281.8203,3112.3501,2919.2506,39.96,96.657,98.809998,59.7502,544.95,4741.05,9575.25,339.48,10.2,0,0.036437247,0,0,0,0,0
2020-06-05,38.94,30020,36.83,1.34,1.8,176950,24.52,1712.3,27110.9805,3193.9299,2930.7993,40.53,96.922,101.410004,63.1771,556.58,5170.75,9872.96,365.25,10.2,0,0.121807466,0,0,0,0,0
2020-06-08,38.17,29347,38.89,1.55,1.808,178341,25.81,1679.5,27572.4395,3232.3899,2937.7712,40.73,96.608,101.919998,61.5456,553.25,5500.75,10052.85,382.03,10.2,0,0.125,0,0,0,0,0
2020-06-09,38.52,27708,37.09,1.57,1.762,168844,27.57,1698.9,27272.3008,3207.1799,2956.1116,40.81,96.321,102.400002,62.4505,556.72,5184.83,9825.57,367.54,10.2,0,0.108108108,0,0,0,0,0
2020-06-10,39.08,40605,37.46,1.58,1.791,174288,27.57,1712,26989.9902,3190.1399,2943.7525,40.93,95.95,104.110001,63.3426,561.24,4895.74,9579.07,349.24,10.2,0,0.126404494,0,0,0,0,0
2020-06-11,36.2,54892,36.55,1.49,1.816,182140,40.79,1736.2,25128.1699,3002.1001,2920.8968,39.97,96.739,98.139999,59.1487,548.17,4435.29,8839.36,316.18,10.2,0,0.086387435,0,0,0,0,0
2020-06-12,36.54,33461,35.06,1.27,1.745,136593,36.09,1731.3,25605.5391,3041.3101,2919.7408,39.9,97.305,99.410004,59.0471,546.31,4591.8,9081.9,324.81,10.2,0,0.0997151,0,0,0,0,0
2020-06-15,37.09,37095,35.09,1.23,1.673,180051,34.4,1730,25763.1602,3066.5901,2890.0306,38.84,96.978,100.370003,60.1853,547.38,4597.89,9160.08,325.61,10.2,0,0.115755627,0,0,0,0,0
2020-06-16,37.88,36316,36.75,1.34,1.614,150669,33.67,1719.9,26289.9805,3124.74,2931.7493,39.78,96.933,102.510002,61.8871,552.5,4747.21,9259.63,334.77,10.2,0,0.090384615,0,0,0,0,0
2020-06-17,37.71,27355,37.59,1.44,1.638,131333,33.47,1727.2,26119.6094,3113.49,2935.873,39.97,97.144,102.489998,61.5855,552.95,4542.53,9239.09,323.65,10.2,0,0.048648649,0,0,0,0,0
2020-06-18,38.82,15826,37.7,1.41,1.638,112050,32.94,1728.6,26080.0996,3115.3401,2939.3151,40.01,97.4,102.949997,62.675,555.58,4618.97,9207.63,327.6,10.2,0,0.097472924,0,0,0,0,0
2020-06-19,39.8,4483,39.45,1.44,1.668,115150,35.12,1724,25871.4609,3097.74,2967.6341,40.25,97.577,102.239998,63.7654,560.34,4541.95,9077.75,322.21,10.2,0,0.037701975,0,0,0,0,0
2020-06-22,40.6,22137,38.96,1.69,1.66,106491,31.77,1746.2,26024.9609,3117.8601,2965.2717,40.24,96.985,103.879997,64.8291,563.62,4531,9061.98,324.04,10.2,0,0.070093458,0,0,0,0,0
2020-06-23,40.07,27251,39.85,1.58,1.63,74247,31.37,1756.3,26156.0996,3131.29,2970.6203,40.82,96.608,104.629997,64.3585,561.99,4527.7,9181.57,324.1,10.2,0,0.064814815,0,0,0,0,0
2020-06-24,38.03,52845,38.17,1.51,1.601,40991,33.84,1776.3,25445.9395,3050.3301,2979.5505,40.64,97.129,102.269997,60.8992,549.72,4236.09,8899.24,306.08,10.2,0,0.156462585,0,0,0,0,0
2020-06-25,39.05,34995,37.18,1.39,1.525,243576,32.22,1766.3,25745.5996,3083.76,2979.5505,40.42,97.388,103.580002,61.2891,549.27,4319.19,9000.3,311.96,10.2,0,0.010810811,0,0,0,0,0
2020-06-26,38.29,33041,37.99,1.4,1.548,115371,34.73,1764.3,25015.5508,3009.05,2979.5505,40.19,97.404,101.540001,60.7279,547.21,4137.78,8805.74,300.65,10.2,0,0.071428571,0,0,0,0,0
2020-06-29,39.63,31919,37.34,1.62,1.693,251028,31.78,1764.7,25595.8008,3053.24,2961.5164,40.02,97.501,102.650002,62.7002,556.54,4209.71,9052.64,305.24,10.2,0,0.110169492,0,0,0,0,0
2020-06-30,39.74,30700,38.22,1.56,1.758,175227,30.43,1776.3,25812.8809,3100.29,2984.6741,40.07,97.349,104.489998,62.4338,561.3,4335.85,9172.72,312.09,10.2,0,0.012944984,0,0,0,0,0
2020-07-01,39.87,25698,42.66,1.46,1.695,161255,28.62,1791.1,25734.9707,3115.8601,3025.981,40.33,97.155,104.660004,63.0742,564.95,4209.88,9153.01,304.39,10.2,0,0.130769231,0,0,0,0,0
2020-07-02,40.43,26938,42.89,1.48,1.726,134583,27.68,1773.8,25827.3594,3130.01,3090.5693,41.28,97.301,105.269997,64.6291,569.75,4286.38,9235.7,308.02,8.4,0,0.176348548,0,0,0,0,0
2020-07-06,40.6,20640,43.57,1.76,1.83,217641,27.94,1781.8,26287.0293,3179.72,3332.8807,42.79,96.682,107.110001,64.9846,573.8,4297.29,9386.94,309.51,8.4,0,0.056386651,0,0,0,0,0
2020-07-07,40.51,23351,43.15,1.77,1.875,957,29.43,1790.1,25890.1797,3145.3201,3345.3369,42.49,96.839,105.989998,65.2001,576.17,4147.85,9278.61,300.14,8.4,0,0.077087794,0,0,0,0,0
